medcode,readcode,readterm,cat,score,CC,TERMID,TERM60
45551,F230z00,Congenital diplegia NOS,Hemiplegia or paraplegia,2,F230z,Y00gM,Congenital diplegia NOS
27805,F342100,Tardy ulnar nerve palsy,Hemiplegia or paraplegia,2,F3421,Y00Vr,Tardy ulnar nerve palsy
31329,F393.00,Familial periodic paralysis,Hemiplegia or paraplegia,2,XE15q,Y70aK,Familial periodic paralysis
3293,F223.00,Right hemiplegia,Hemiplegia or paraplegia,2,Xa0fr,Ya1xx,Right hemiplegia
99040,F230.11,Paraplegia - congenital,Hemiplegia or paraplegia,2,X00Ep,Y00gN,Paraplegia - congenital
22907,F242.00,Diplegia of upper limbs,Hemiplegia or paraplegia,2,F242.,YM0kd,Diplegia of upper limbs
3621,2837,O/E - diplegia,Hemiplegia or paraplegia,2,2837,YM0Gr,O/E - diplegia
35106,F221.11,Spastic foot,Hemiplegia or paraplegia,2,XaB3o,YM0ka,Spastic foot
36133,2835,O/E - paraplegia,Hemiplegia or paraplegia,2,2835,YM0Gp,O/E - paraplegia
21249,F232.00,Congenital quadriplegia,Hemiplegia or paraplegia,2,XM1Pw,Y00gI,Congenital quadriplegia
33925,F233.00,Congenital monoplegia,Hemiplegia or paraplegia,2,XE15V,Y00gT,Congenital monoplegia
29515,F36y000,Supranuclear paralysis,Hemiplegia or paraplegia,2,F36y0,00GEm,Supranuclear paralysis
48561,E260000,Psychogenic paralysis,Hemiplegia or paraplegia,2,E2600,00Ffp,Psychogenic paralysis
39085,F220.00,Flaccid hemiplegia,Hemiplegia or paraplegia,2,F220.,YM0kY,Flaccid hemiplegia
3063,F241.00,Paraplegia,Hemiplegia or paraplegia,2,F241.,Y7EwN,Paraplegia
57614,F246z00,Cauda equina syndrome NOS,Hemiplegia or paraplegia,2,F246z,Y00Z5,Cauda equina syndrome NOS
2019,F234.00,Infantile hemiplegia NOS,Hemiplegia or paraplegia,2,F234.,Y00gS,Infantile hemiplegia NOS
2640,F24z.00,Paralysis NOS,Hemiplegia or paraplegia,2,F24z.,YM0kk,Paralysis NOS
3608,R014.00,[D]Transient paralysis of a limb,Hemiplegia or paraplegia,2,R014.,YM0wy,[D]Transient paralysis of a limb
2073,F343000,Acute radial nerve palsy,Hemiplegia or paraplegia,2,F3430,Y00Vu,Acute radial nerve palsy
103777,294B.00,Worsening limb spasticity,Hemiplegia or paraplegia,2,XaXlP,YauV8,Worsening limb spasticity
18957,2949,Lower limb spasticity,Hemiplegia or paraplegia,2,XaIeP,Yal9M,Lower limb spasticity
107844,38Gw.00,Gross Motor Function Classification System Cerebral Palsy,Hemiplegia or paraplegia,2,XaaVG,YawMH,Gross Motor Function Classification System Cerebral Palsy
21548,F23y000,Ataxic infantile cerebral palsy,Hemiplegia or paraplegia,2,F23y0,Ya25r,Ataxic infantile cerebral palsy
94732,Q207z00,Cranial or peripheral nerve palsy due to birth trauma NOS,Hemiplegia or paraplegia,2,Q207z,Y716b,Cranial or peripheral nerve palsy due to birth trauma NOS
16033,F243.00,Monoplegia of lower limb,Hemiplegia or paraplegia,2,F243.,YM0ke,Monoplegia of lower limb
44908,1B33.00,Paralysis present,Hemiplegia or paraplegia,2,1B33.,Y7EwW,Paralysis present
5560,F23..12,Infantile cerebral palsy,Hemiplegia or paraplegia,2,X00Em,Y00gA,Infantile cerebral palsy
27377,F152200,Progressive bulbar palsy,Hemiplegia or paraplegia,2,F1522,Y00GX,Progressive bulbar palsy
49151,8E53.00,Exercises for paralysis,Hemiplegia or paraplegia,2,8E53.,Y75V6,Exercises for paralysis
16956,G669.00,"Cerebral palsy, not congenital or infantile, acute",Hemiplegia or paraplegia,2,XaBE2,YaaW4,"Cerebral palsy, not congenital or infantile, acute"
12666,F23yz00,Other infantile cerebral palsy NOS,Hemiplegia or paraplegia,2,F23yz,Y00g8,Other infantile cerebral palsy NOS
71911,Q206z00,Brachial plexus palsy due to birth trauma NOS,Hemiplegia or paraplegia,2,Q206z,Y716T,Brachial plexus palsy due to birth trauma NOS
9375,F241100,Spastic paraplegia,Hemiplegia or paraplegia,2,F2411,YMAzS,Spastic paraplegia
105133,F2B1.00,Spastic hemiplegic cerebral palsy,Hemiplegia or paraplegia,2,XaYfK,Yauxv,Spastic hemiplegic cerebral palsy
53755,Fyu9.00,[X]Cerebral palsy and other paralytic syndromes,Hemiplegia or paraplegia,2,Fyu9.,YMAEH,[X]Cerebral palsy and other paralytic syndromes
2069,F23..00,Congenital cerebral palsy,Hemiplegia or paraplegia,2,XM1Pu,Y00g5,Congenital cerebral palsy
23366,R012200,[D]Spastic gait,Hemiplegia or paraplegia,2,R0122,YM0wp,[D]Spastic gait
73788,S114500,Closed spinal fracture with cauda equina lesion,Hemiplegia or paraplegia,2,S1145,YA1KS,Closed spinal fracture with cauda equina lesion
46128,F240000,Flaccid tetraplegia,Hemiplegia or paraplegia,2,F2400,YMAzT,Flaccid tetraplegia
46175,F241000,Flaccid paraplegia,Hemiplegia or paraplegia,2,F2410,YMAzR,Flaccid paraplegia
23632,F244.00,Monoplegia of upper limb,Hemiplegia or paraplegia,2,F244.,YM0kf,Monoplegia of upper limb
90520,Fyu9000,[X]Other infantile cerebral palsy,Hemiplegia or paraplegia,2,Fyu90,YMAEI,[X]Other infantile cerebral palsy
1749,F22..00,Hemiplegia,Hemiplegia or paraplegia,2,XE15T,Y7EwJ,Hemiplegia
24105,SN48112,Paralysis following electric shock,Hemiplegia or paraplegia,2,X70xh,Y73B3,Paralysis following electric shock
61273,F246000,Cauda equina syndrome not affecting bladder,Hemiplegia or paraplegia,2,F2460,Y00Z3,Cauda equina syndrome not affecting bladder
3514,F141.00,Hereditary spastic paraplegia,Hemiplegia or paraplegia,2,F141.,Y00Gj,Hereditary spastic paraplegia
69356,7L0D100,Correction of obstetric palsy,Hemiplegia or paraplegia,2,XE0JH,Y60qR,Correction of obstetric palsy
18969,Q206.00,Brachial plexus palsy due to birth trauma,Hemiplegia or paraplegia,2,Q206.,Y716L,Brachial plexus palsy due to birth trauma
25324,F230.00,Congenital diplegia,Hemiplegia or paraplegia,2,XM1Px,Y00gK,Congenital diplegia
58576,F038.00,Tropical spastic paraplegia,Hemiplegia or paraplegia,2,X001f,Y00Dm,Tropical spastic paraplegia
91738,K0A5600,"Hereditary nephropathy, NEC, dense deposit disease",Renal disease,2,K0A56,YMAmv,"Hereditary nephropathy, NEC, dense deposit disease"
8607,K0C0.00,Analgesic nephropathy,Renal disease,2,X30JS,Y31h9,Analgesic nephropathy
95146,1Z19.00,Chronic kidney disease stage 2 with proteinuria,Renal disease,2,XaO3r,Yaqrv,Chronic kidney disease stage 2 with proteinuria
12586,1Z11.00,Chronic kidney disease stage 2,Renal disease,2,XaLHH,YaoL8,Chronic kidney disease stage 2
25394,D215000,Anaemia secondary to chronic renal failure,Renal disease,2,XaCLy,Yac7p,Anaemia secondary to chronic renal failure
38572,K104.00,Xanthogranulomatous pyelonephritis,Renal disease,2,X30Jd,Y31hK,Xanthogranulomatous pyelonephritis
105787,7B00600,Xenograft renal transplant,Renal disease,2,X30D2,Y30ev,Xenograft renal transplant
56939,K08y000,Hypokalaemic nephropathy,Renal disease,2,K08y0,Y31jF,Hypokalaemic nephropathy
61145,C341z00,Gouty nephropathy NOS,Renal disease,2,C341z,Y31jL,Gouty nephropathy NOS
47342,Q48y000,Congenital renal failure,Renal disease,2,XE1fE,Y70yr,Congenital renal failure
101358,K0A0400,Ac neph syn difus endocaplry prolifrative glomerulonephritis,Renal disease,2,K0A04,YMAmT,Ac neph syn difus endocaplry prolifrative glomerulonephritis
63599,K00y.00,Other acute glomerulonephritis,Renal disease,2,K00y.,Y31dd,Other acute glomerulonephritis
50728,K080200,Renal infantilism,Renal disease,2,K0802,Y31bj,Renal infantilism
94793,1Z1B.00,Chronic kidney disease stage 3 with proteinuria,Renal disease,2,XaO3t,Yaqrz,Chronic kidney disease stage 3 with proteinuria
62320,K0A1700,Rapid progres nephritic syn df crescentic glomerulonephritis,Renal disease,2,K0A17,YMAmO,Rapid progres nephritic syn df crescentic glomerulonephritis
101453,Kyu1000,[X]Other chronic tubulo-interstitial nephritis,Renal disease,2,Kyu10,YMAPm,[X]Other chronic tubulo-interstitial nephritis
53944,K10y.00,Pyelonephritis and pyonephrosis unspecified,Renal disease,2,K10y.,Y31c9,Pyelonephritis and pyonephrosis unspecified
12720,1Z1..00,Chronic renal impairment,Renal disease,2,X30In,Y31fY,Chronic renal impairment
94373,K01y.00,Nephrotic syndrome with other pathological kidney lesions,Renal disease,2,K01y.,Y31ct,Nephrotic syndrome with other pathological kidney lesions
61814,K0A0700,Acute nephrotic syndrm diffuse crescentic glomerulonephritis,Renal disease,2,K0A07,YMAmF,Acute nephrotic syndrm diffuse crescentic glomerulonephritis
60857,K0A3700,Chronic nephritic syn diffuse crescentic glomerulonephritis,Renal disease,2,K0A37,YMAme,Chronic nephritic syn diffuse crescentic glomerulonephritis
24384,K032400,Familial glomerulonephritis in Alport's syndrome,Renal disease,2,K0324,00I1i,Familial glomerulonephritis in Alport's syndrome
61930,Kyu2.00,[X]Renal failure,Renal disease,2,Kyu2.,00IPz,[X]Renal failure
8330,K0D..00,End-stage renal disease,Renal disease,2,K0D..,00I5E,End-stage renal disease
102210,7L1f000,Extracorporeal albumin haemodialysis,Renal disease,2,XaMtq,Yapw8,Extracorporeal albumin haemodialysis
350,K06..00,Renal failure unspecified,Renal disease,2,XE0dg,Y31fe,Renal failure unspecified
48261,K00y200,Acute focal nephritis,Renal disease,2,K00y2,Y31dg,Acute focal nephritis
107000,SP08F00,Acute rejection of renal transplant - grade II,Renal disease,2,X30MV,Y31ll,Acute rejection of renal transplant - grade II
95406,1Z1J.00,Chronic kidney disease stage 4 without proteinuria,Renal disease,2,XaO40,YaqsD,Chronic kidney disease stage 4 without proteinuria
95508,1Z1K.00,Chronic kidney disease stage 5 with proteinuria,Renal disease,2,XaO41,YaqsF,Chronic kidney disease stage 5 with proteinuria
34669,K03y200,Other interstitial nephritis,Renal disease,2,K03y2,Y31c1,Other interstitial nephritis
50472,K018.00,"Nephrotic syn,difus endocapilary proliftv glomerulonephritis",Renal disease,2,K018.,YMAmB,"Nephrotic syn,difus endocapilary proliftv glomerulonephritis"
11553,SP08300,Kidney transplant failure and rejection,Renal disease,2,SP083,YMAmy,Kidney transplant failure and rejection
105436,SP0G.00,Anaphylactoid reaction due to haemodialysis,Renal disease,2,XaZmp,Yavkm,Anaphylactoid reaction due to haemodialysis
19473,66i..00,Chronic kidney disease monitoring,Renal disease,2,XaMJD,YapUC,Chronic kidney disease monitoring
50804,K08yz00,Other impaired renal function disorder NOS,Renal disease,2,XE0dh,Y31bg,Other impaired renal function disorder NOS
52272,A160000,Tuberculous nephropathy,Renal disease,2,A1600,Y71Jg,Tuberculous nephropathy
67494,7257300,Correction iridodialysis NEC,Renal disease,2,72573,Y01Zg,Correction iridodialysis NEC
4850,K03..11,Nephritis and nephropathy unspecified,Renal disease,2,XE0dc,Y31bm,Nephritis and nephropathy unspecified
99631,K100000,Chronic pyelonephritis without medullary necrosis,Renal disease,2,K1000,Y31cm,Chronic pyelonephritis without medullary necrosis
69760,ZVu3G00,[X]Other dialysis,Renal disease,2,ZVu3G,YMAfk,[X]Other dialysis
88597,7L1A400,Automated peritoneal dialysis,Renal disease,2,XaM2A,YapAD,Automated peritoneal dialysis
39993,F447C00,Iridodialysis,Renal disease,2,F447C,Y01s5,Iridodialysis
67460,K001.00,Acute nephritis with lesions of necrotising glomerulitis,Renal disease,2,K001.,Y31dj,Acute nephritis with lesions of necrotising glomerulitis
72621,Kyu1100,[X]Other and unspecified hydronephrosis,Renal disease,2,Kyu11,YMAPn,[X]Other and unspecified hydronephrosis
106620,SP08J00,Chronic rejection of renal transplant,Renal disease,2,X30MX,Y31lp,Chronic rejection of renal transplant
99685,K0A0600,"Acute nephritic syndrome, dense deposit disease",Renal disease,2,K0A06,YMAmV,"Acute nephritic syndrome, dense deposit disease"
32423,G222.00,Hypertensive renal disease with renal failure,Renal disease,2,G222.,YMAk6,Hypertensive renal disease with renal failure
103757,Kyu1E00,"[X]Tubulo-interstit nephritis, not specif as acute or chron",Renal disease,2,Kyu1E,YMAQ0,"[X]Tubulo-interstit nephritis, not specif as acute or chron"
94965,1Z15.00,Chronic kidney disease stage 3A,Renal disease,2,XaNbn,Yaqcm,Chronic kidney disease stage 3A
12479,1Z13.00,Chronic kidney disease stage 4,Renal disease,2,XaLHJ,YaoLA,Chronic kidney disease stage 4
104954,K08y700,Acute infective interstitial nephritis,Renal disease,2,X30Hk,Y31cP,Acute infective interstitial nephritis
41239,K0A5100,"Hereditary nephropathy NEC,focal+segmnt glomerular lesion",Renal disease,2,K0A51,YMAmq,"Hereditary nephropathy NEC,focal+segmnt glomerular lesion"
35065,K03y.00,Other nephritis and nephrosis unspecified,Renal disease,2,K03y.,Y31bz,Other nephritis and nephrosis unspecified
512,K05..00,Chronic renal failure,Renal disease,2,XE0df,Y31g7,Chronic renal failure
41881,K032y14,Mesangiocapillary glomerulonephritis NEC,Renal disease,2,X30IR,Y31eo,Mesangiocapillary glomerulonephritis NEC
100558,K0A0000,"Acute nephritic syndrome, minor glomerular abnormality",Renal disease,2,K0A00,YMAmP,"Acute nephritic syndrome, minor glomerular abnormality"
12465,K032.00,Membranoproliferative nephritis unspecified,Renal disease,2,K032.,Y31bo,Membranoproliferative nephritis unspecified
69679,9Ot4.00,Chronic kidney disease monitoring telephone invite,Renal disease,2,XaMFx,YapQE,Chronic kidney disease monitoring telephone invite
53945,Kyu2000,[X]Other acute renal failure,Renal disease,2,Kyu20,YMAQ3,[X]Other acute renal failure
15780,K0z..00,"Nephritis, nephrosis and nephrotic syndrome NOS",Renal disease,2,K0z..,Y31bw,"Nephritis, nephrosis and nephrotic syndrome NOS"
2996,7L1A200,Haemodialysis NEC,Renal disease,2,7L1A2,YaV79,Haemodialysis NEC
99692,ZV56000,[V]Aftercare involving extracorporeal dialysis,Renal disease,2,ZV560,Ya0lY,[V]Aftercare involving extracorporeal dialysis
108766,661M200,Chronic kidney disease self-management plan agreed,Renal disease,2,XaYb9,Yauuz,Chronic kidney disease self-management plan agreed
60498,Z919300,Reversing haemodialysis lines,Renal disease,2,Ua1JE,YMFe4,Reversing haemodialysis lines
96347,7A61900,Ligation of arteriovenous dialysis fistula,Renal disease,2,XaOmL,YarHz,Ligation of arteriovenous dialysis fistula
252752,K0A3400,Chron neph syn difuse endocap prolifrativ glomerulonephritis,Renal disease,2,K0A34,YMAmb,Chron neph syn difuse endocap prolifrativ glomerulonephritis
261978,K101100,Acute pyelonephritis with medullary necrosis,Renal disease,2,K1011,Y31cM,Acute pyelonephritis with medullary necrosis
66505,K0A3000,"Chronic nephritic syndrome, minor glomerular abnormality",Renal disease,2,K0A30,YMAmX,"Chronic nephritic syndrome, minor glomerular abnormality"
64828,7L1A600,Peritoneal dialysis NEC,Renal disease,2,XaMMt,YapYh,Peritoneal dialysis NEC
17253,8L50.00,Renal transplant planned,Renal disease,2,8L50.,YaXo1,Renal transplant planned
41285,K0A1200,Rapid progres neph syn diffuse membranous glomerulonephritis,Renal disease,2,K0A12,YMAmJ,Rapid progres neph syn diffuse membranous glomerulonephritis
59992,K0A4W00,"Isolated proteinuria, with unspecified morpholog changes",Renal disease,2,K0A4W,00I4Y,"Isolated proteinuria, with unspecified morpholog changes"
20073,7L1A000,Renal dialysis,Renal disease,2,XE0Jg,Ya15a,Renal dialysis
31549,7L1A.00,Compensation for renal failure,Renal disease,2,XE0Jf,Y75Sk,Compensation for renal failure
25980,K08z.00,Impaired renal function disorder NOS,Renal disease,2,K08z.,Y31be,Impaired renal function disorder NOS
71651,F410400,New partial retinal detachment with retinal dialysis,Renal disease,2,F4104,Y01x4,New partial retinal detachment with retinal dialysis
21423,K032600,Berger's IgA or IgG nephropathy,Renal disease,2,K0326,Y31ei,Berger's IgA or IgG nephropathy
31581,K0A0.00,Acute nephritic syndrome,Renal disease,2,X30I2,Y31dN,Acute nephritic syndrome
5475,7261011,Cyclodialysis,Renal disease,2,72610,Y01Zz,Cyclodialysis
65400,K02y300,Chronic diffuse glomerulonephritis,Renal disease,2,K02y3,Y31e3,Chronic diffuse glomerulonephritis
107260,Gy41.00,Infection of dialysis arteriovenous fistula,Renal disease,2,Xaa6o,Yaw06,Infection of dialysis arteriovenous fistula
108437,SP08V00,Very mild acute rejection of renal transplant,Renal disease,2,X30MS,Y31lg,Very mild acute rejection of renal transplant
30739,9Ot0.00,Chronic kidney disease monitoring first letter,Renal disease,2,XaMFt,YapQ6,Chronic kidney disease monitoring first letter
108759,Gy5..00,Haemorrhage of dialysis vascular access,Renal disease,2,Xaa5U,Yavyl,Haemorrhage of dialysis vascular access
65064,K023.00,Chronic rapidly progressive glomerulonephritis,Renal disease,2,K023.,Y31e8,Chronic rapidly progressive glomerulonephritis
20027,K00y000,Acute glomerulonephritis in diseases EC,Renal disease,2,K00y0,Y31di,Acute glomerulonephritis in diseases EC
105392,K051.00,Chronic kidney disease stage 1,Renal disease,2,XaLHG,YaoL7,Chronic kidney disease stage 1
104049,7B0Fz00,Interventions associated with transplantation of kidney NOS,Renal disease,2,XaM4g,YapCf,Interventions associated with transplantation of kidney NOS
100205,K0E..00,Acute-on-chronic renal failure,Renal disease,2,X30Iz,Y31g6,Acute-on-chronic renal failure
26862,7B06300,Exploration of renal transplant,Renal disease,2,7B063,Y30gS,Exploration of renal transplant
36125,K03U.00,"Unspecif nephr synd, diff concentric glomerulonephritis",Renal disease,2,K03U.,00I1x,"Unspecif nephr synd, diff concentric glomerulonephritis"
104586,7L1B200,Flushing of peritoneal dialysis catheter,Renal disease,2,7L1B2,009sn,Flushing of peritoneal dialysis catheter
107901,7L1Cy00,Placement other apparatus- compensate for renal failure OS,Renal disease,2,7L1Cy,Y429p,Placement other apparatus- compensate for renal failure OS
47838,K00yz00,Other acute glomerulonephritis NOS,Renal disease,2,K00yz,Y31de,Other acute glomerulonephritis NOS
99644,K012.00,Nephrotic syndrome+membranoproliferative glomerulonephritis,Renal disease,2,K012.,Y31d1,Nephrotic syndrome+membranoproliferative glomerulonephritis
54990,TB00100,"Kidney transplant with complication, without blame",Renal disease,2,TB001,Y74uZ,"Kidney transplant with complication, without blame"
9840,K010.00,Nephrotic syndrome with proliferative glomerulonephritis,Renal disease,2,K010.,Y31d3,Nephrotic syndrome with proliferative glomerulonephritis
49046,A844100,Plasmodium malariae malaria with nephropathy,Renal disease,2,A8441,YMAtQ,Plasmodium malariae malaria with nephropathy
39840,K08y.00,Other impaired renal function disorder,Renal disease,2,K08y.,Y31bi,Other impaired renal function disorder
63786,K01w.00,Congenital nephrotic syndrome,Renal disease,2,K01w.,Y31dC,Congenital nephrotic syndrome
19316,K016.00,"Nephrotic syndrome, diffuse membranous glomerulonephritis",Renal disease,2,K016.,YMAm9,"Nephrotic syndrome, diffuse membranous glomerulonephritis"
30301,K03X.00,"Unsp nephrit synd, diff mesang prolif glomerulonephritis",Renal disease,2,K03X.,00I20,"Unsp nephrit synd, diff mesang prolif glomerulonephritis"
2939,K100600,Calculous pyelonephritis,Renal disease,2,K1006,YMAm4,Calculous pyelonephritis
48022,7L1Ay00,Other specified compensation for renal failure,Renal disease,2,7L1Ay,Y75Sl,Other specified compensation for renal failure
105328,7B00212,Cadaveric renal transplant,Renal disease,2,7B002,Y30el,Cadaveric renal transplant
107814,K032200,Focal glomerulon + focal recurr macroscop glomerulonephritis,Renal disease,2,K0322,Y31bq,Focal glomerulon + focal recurr macroscop glomerulonephritis
29638,K080.00,Renal osteodystrophy,Renal disease,2,K080.,Y41gP,Renal osteodystrophy
22205,K01x411,Lupus nephritis,Renal disease,2,XE0da,Y31jX,Lupus nephritis
21158,K100200,Chronic pyelitis,Renal disease,2,K1002,Y31cI,Chronic pyelitis
6712,K050.00,End stage renal failure,Renal disease,2,X30J0,Y31gA,End stage renal failure
4654,K100.00,Chronic pyelonephritis,Renal disease,2,K100.,Y31cj,Chronic pyelonephritis
29384,K000.00,Acute proliferative glomerulonephritis,Renal disease,2,K000.,Y31dk,Acute proliferative glomerulonephritis
22252,ZV45100,[V]Renal dialysis status,Renal disease,2,ZV451,Ya0OZ,[V]Renal dialysis status
94789,1Z17.00,Chronic kidney disease stage 1 with proteinuria,Renal disease,2,XaO3p,Yaqrr,Chronic kidney disease stage 1 with proteinuria
53940,Kyu2100,[X]Other chronic renal failure,Renal disease,2,Kyu21,YMAQ4,[X]Other chronic renal failure
105724,SP08N00,Unexplained episode of renal transplant dysfunction,Renal disease,2,Xa0HK,Ya1Np,Unexplained episode of renal transplant dysfunction
40413,K0A3100,Chronic nephritic syndrm focal+segmental glomerular lesions,Renal disease,2,K0A31,YMAma,Chronic nephritic syndrm focal+segmental glomerular lesions
99139,K0B6.00,Balkan nephropathy,Renal disease,2,X30JY,Y31hF,Balkan nephropathy
23990,K03T.00,"Tubulo-interstit nephritis, not specif as acute or chron",Renal disease,2,K03T.,00I1w,"Tubulo-interstit nephritis, not specif as acute or chron"
108785,SP0F.00,Haemodialysis first use syndrome,Renal disease,2,SP0F.,00NRG,Haemodialysis first use syndrome
64636,7L1Az00,Compensation for renal failure NOS,Renal disease,2,7L1Az,Y75Sm,Compensation for renal failure NOS
104619,K053.00,Chronic kidney disease stage 3,Renal disease,2,XaLHI,YaoL9,Chronic kidney disease stage 3
44270,K0A5200,"Hereditry nephropathy NEC,difus membran glomerulnephritis",Renal disease,2,K0A52,YMAmr,"Hereditry nephropathy NEC,difus membran glomerulnephritis"
72962,9Ot1.00,Chronic kidney disease monitoring second letter,Renal disease,2,XaMFu,YapQ8,Chronic kidney disease monitoring second letter
58164,K033.00,Rapidly progressive nephritis unspecified,Renal disease,2,K033.,Y31dZ,Rapidly progressive nephritis unspecified
2471,K01x100,Nephrotic syndrome in diabetes mellitus,Renal disease,2,K01x1,Y31cy,Nephrotic syndrome in diabetes mellitus
8828,14D1.00,H/O: nephritis,Renal disease,2,14D1.,Ya05G,H/O: nephritis
101912,Z1A..00,Dialysis training,Renal disease,2,X71Fm,Y7510,Dialysis training
59194,7L1By00,Placement ambulatory apparatus- compensate renal failure OS,Renal disease,2,7L1By,Y429u,Placement ambulatory apparatus- compensate renal failure OS
104630,SP08G00,Acute rejection of renal transplant - grade III,Renal disease,2,X30MW,Y31ln,Acute rejection of renal transplant - grade III
28684,G233.00,Hypertensive heart and renal disease with renal failure,Renal disease,2,G233.,YMAkX,Hypertensive heart and renal disease with renal failure
101736,4N0..00,Dialysis fluid urea level,Renal disease,2,XaJke,Yampq,Dialysis fluid urea level
9379,K08y500,Acute interstitial nephritis,Renal disease,2,X30JL,Y31gw,Acute interstitial nephritis
22897,D310100,Henoch-Schonlein nephritis,Renal disease,2,X30Kv,YadYq,Henoch-Schonlein nephritis
7804,K02..00,Chronic glomerulonephritis,Renal disease,2,XE0db,Y31dx,Chronic glomerulonephritis
25582,K04z.00,Acute renal failure NOS,Renal disease,2,K04z.,Y31fi,Acute renal failure NOS
64482,K101000,Acute pyelonephritis without medullary necrosis,Renal disease,2,K1010,Y31cN,Acute pyelonephritis without medullary necrosis
72478,Kyu1400,[X]Nephropathy induced by other drugs+biological substances,Renal disease,2,Kyu14,YMAPq,[X]Nephropathy induced by other drugs+biological substances
95408,1Z1D.00,Chronic kidney disease stage 3A with proteinuria,Renal disease,2,XaO3v,Yaqs3,Chronic kidney disease stage 3A with proteinuria
106728,K04E.00,Acute kidney injury stage 3,Renal disease,2,Xaa8Q,Yaw14,Acute kidney injury stage 3
106720,Gy21.00,Thrombosis of dialysis arteriovenous fistula,Renal disease,2,Xaa5f,Yavyu,Thrombosis of dialysis arteriovenous fistula
60198,K0A3600,"Chronic nephritic syndrome, dense deposit disease",Renal disease,2,K0A36,YMAmd,"Chronic nephritic syndrome, dense deposit disease"
58750,K01x300,Nephrotic syndrome in polyarteritis nodosa,Renal disease,2,K01x3,Y31cv,Nephrotic syndrome in polyarteritis nodosa
1803,K011.00,Nephrotic syndrome with membranous glomerulonephritis,Renal disease,2,K011.,Y31d2,Nephrotic syndrome with membranous glomerulonephritis
36342,K032y13,Mesangioproliferative glomerulonephritis NEC,Renal disease,2,X30I4,Y31dT,Mesangioproliferative glomerulonephritis NEC
62520,K03W.00,"Unsp nephrit synd, diff endocap prolif glomerulonephritis",Renal disease,2,K03W.,00I1z,"Unsp nephrit synd, diff endocap prolif glomerulonephritis"
54312,K0A0500,"Acute neph syn, diffuse mesangiocapillary glomerulonephritis",Renal disease,2,K0A05,YMAmU,"Acute neph syn, diffuse mesangiocapillary glomerulonephritis"
107220,G72D100,Aneurysm of needle site of dialysis arteriovenous fistula,Renal disease,2,XaZcX,Yavfc,Aneurysm of needle site of dialysis arteriovenous fistula
108423,Gy60.00,Rupture of dialysis arteriovenous graft,Renal disease,2,Xaa7K,Yaw0V,Rupture of dialysis arteriovenous graft
5911,ZV42000,[V]Kidney transplanted,Renal disease,2,ZV420,Ya0O1,[V]Kidney transplanted
107027,K0G..00,Sickle cell nephropathy,Renal disease,2,X30Kx,Y31jj,Sickle cell nephropathy
48855,K100500,Chronic obstructive pyelonephritis,Renal disease,2,X30Hv,Y31cp,Chronic obstructive pyelonephritis
72964,9Ot2.00,Chronic kidney disease monitoring third letter,Renal disease,2,XaMFv,YapQA,Chronic kidney disease monitoring third letter
11873,K03..12,"Nephropathy, unspecified",Renal disease,2,X30Hg,Y31bu,"Nephropathy, unspecified"
61317,K0A2200,Recur+persist haematuria difus membranous glomerulonephritis,Renal disease,2,K0A22,YMAnG,Recur+persist haematuria difus membranous glomerulonephritis
107746,Gy1..00,Stenosis of dialysis vascular access,Renal disease,2,XaZlu,Yavk2,Stenosis of dialysis vascular access
63488,ZV56y00,[V]Other specified aftercare involving intermittent dialysis,Renal disease,2,ZV56y,Ya0lb,[V]Other specified aftercare involving intermittent dialysis
95710,K10y300,Pyelonephritis in diseases EC,Renal disease,2,K10y3,Y31ca,Pyelonephritis in diseases EC
95121,1Z1A.00,Chronic kidney disease stage 2 without proteinuria,Renal disease,2,XaO3s,Yaqrx,Chronic kidney disease stage 2 without proteinuria
108116,Gy3..00,Occlusion of dialysis vascular access,Renal disease,2,Xaa5S,Yavyj,Occlusion of dialysis vascular access
50305,K032y11,Hypocomplementaemic persistent glomerulonephritis NEC,Renal disease,2,X30I6,Y31dV,Hypocomplementaemic persistent glomerulonephritis NEC
57784,K0C2.00,Nephropathy induced by unspec drug medicament or biol subs,Renal disease,2,K0C2.,YMAn3,Nephropathy induced by unspec drug medicament or biol subs
16929,D215.00,Anaemia secondary to renal failure,Renal disease,2,XaCLx,Yac7o,Anaemia secondary to renal failure
68114,K080000,Phosphate-losing tubular disorders,Renal disease,2,K0800,Y31bl,Phosphate-losing tubular disorders
67995,K032000,Focal membranoproliferative glomerulonephritis,Renal disease,2,K0320,Y31ep,Focal membranoproliferative glomerulonephritis
2773,K0...00,"Nephritis, nephrosis and nephrotic syndrome",Renal disease,2,K0...,Y31bv,"Nephritis, nephrosis and nephrotic syndrome"
95123,1Z1C.00,Chronic kidney disease stage 3 without proteinuria,Renal disease,2,XaO3u,Yaqs1,Chronic kidney disease stage 3 without proteinuria
2088,K00..00,Acute glomerulonephritis,Renal disease,2,XE0dY,Y31da,Acute glomerulonephritis
23913,K014.00,"Nephrotic syndrome, minor glomerular abnormality",Renal disease,2,K014.,YMAm7,"Nephrotic syndrome, minor glomerular abnormality"
66503,K0A0200,"Acute nephritic syn, diffuse membranous glomerulonephritis",Renal disease,2,K0A02,YMAmR,"Acute nephritic syn, diffuse membranous glomerulonephritis"
49028,14S2.00,H/O: kidney recipient,Renal disease,2,14S2.,Ya06v,H/O: kidney recipient
